postID,title,description,date,group
1,"TP. Hồ Chí Minh: Tăng hiệu quả trong quản lý, sử dụng hóa đơn điện tử","Cục Thuế TP. Hồ Chí Minh triển khai nhiều giải pháp giúp người nộp thuế hiểu rõ lợi ích và gia tăng hiệu quả khi sử dụng hóa đơn điện tử, mang lại lợi ích cho doanh nghiệp, cơ quan thuế và xã hội.",2025-02-27T16:00:00+07:00,Kinh tế
2,"Đầu tư công mở đường, bất động sản khu công nghiệp đón sóng tăng trưởng","Đầu tư công tăng tốc với giải ngân kỷ lục và cải cách thể chế mở ra cơ hội tăng trưởng cho bất động sản khu công nghiệp, đòi hỏi nhà đầu tư có chiến lược phù hợp.",2025-02-27T16:00:00+07:00,Bất động sản
3,Tín dụng bất động sản có xu hướng chuyển dần sang người mua nhà,Chuyên gia Fiin Ratings dự báo tín dụng bất động sản thời gian tới đây dự kiến sẽ dịch chuyển dần sang người mua nhà thay vì tập trung chủ yếu vào các chủ đầu tư.,2025-02-27T16:00:00+07:00,Tài chính
4,Áp lực trả nợ trái phiếu đáo hạn 2025 sẽ ổn định dần,"Khoảng hơn 203.000 tỷ đồng TPDN đáo hạn năm 2025, áp lực trả nợ dự kiến sẽ ổn định dần về mức bình thường mới nhờ kinh tế vững mạnh và pháp lý hoàn thiện.",2025-02-27T16:00:00+07:00,Tài chính
5,Hỗ trợ tới 10.000 tỷ đồng xây dựng nhà máy chip bán dẫn đầu tiên của Việt Nam,"Chính sách đặc biệt cho phép hỗ trợ tài chính tới 10.000 tỷ đồng để xây dựng nhà máy đầu tiên phục vụ nghiên cứu, đào tạo và sản xuất chip bán dẫn.",2025-02-27T16:00:00+07:00,Kinh tế
6,"Dòng tiền rút mạnh khỏi quỹ cổ phiếu tháng 1/2025, quỹ mở tiếp tục hút vốn","Tháng 1/2025, dòng vốn rút mạnh khỏi quỹ cổ phiếu do thị trường kém thuận lợi, trong khi quỹ mở và quỹ trái phiếu duy trì mức sinh lời ổn định, tiếp tục hút vốn.",2025-02-27T16:00:00+07:00,Thị trường
7,NHTM nhà nước cần thêm cơ chế đặc thù để thúc đẩy kinh tế,Phó Thống đốc Đào Minh Tú nhấn mạnh vai trò DNNN và đề xuất cơ chế đặc thù cho các NHTM nhà nước tại hội nghị Thường trực Chính phủ ngày 27/2.,2025-02-27T16:00:00+07:00,Tài chính
8,"Kích cầu du lịch 2025 với nhiều ưu đãi về giá cả, dịch vụ","Bộ VHTTDL ban hành Kế hoạch kích cầu du lịch năm 2025 ""Việt Nam - đi để yêu"" theo Nghị quyết 11/NQ-CP với nhiều ưu đãi giá, dịch vụ cho du khách.",2025-02-27T16:00:00+07:00,Kinh tế
9,Hàng trăm tấn vàng được cấp tập vận chuyển bằng máy bay về Mỹ,"Hàng trăm tấn vàng đang được chuyển bằng máy bay từ các hầm vàng tại London (Anh) về New York (Mỹ), đặt ra câu hỏi về diễn biến thị trường vàng thế giới.",2025-02-27T16:00:00+07:00,Hàng hóa
10,Khởi công dự án cải tạo rạch Xuyên Tâm (TP.HCM) trước ngày 30/4,"Dự án cải tạo rạch Xuyên Tâm vốn hơn 17.000 tỷ đồng, tuyến rạch ô nhiễm nhất TP.HCM, sẽ được khởi công vào tháng 4/2025.",2025-02-27T16:00:00+07:00,Kinh tế
11,Giá bitcoin giảm xuống dưới mức 86.000 đô la Mỹ,"Giá bitcoin trong ngày 26-2 giảm còn 85.600 đô la Mỹ mỗi BTC, mất 20% giá trị so với hơn một tháng trước.",2025-02-27T16:00:00+07:00,Thế giới
12,Quảng Ninh đặt mục tiêu phát triển 2-4 khu công nghiệp mới năm 2025,"Năm 2025, Quảng Ninh đặt mục tiêu phát triển từ 2 đến 4 khu công nghiệp mới, thu hút đầu tư vào công nghệ cao, chế biến, chế tạo.",2025-02-27T16:00:00+07:00,Kinh tế
13,Ban hành Kế hoạch thực hiện Quy hoạch không gian biển quốc gia tầm nhìn 2050,"Chính phủ ban hành Nghị quyết 37/NQ-CP ngày 27/2/2025 về Kế hoạch thực hiện Quy hoạch không gian biển quốc gia thời kỳ 2021 - 2030, tầm nhìn đến năm 2050.",2025-02-27T16:00:00+07:00,Kinh tế
14,Điều kiện vay gói tín dụng nhà 16.000 tỷ lãi suất ưu đãi,"Khách hàng cần tín dụng tốt, thu nhập ổn định, tài sản đảm bảo phù hợp để vay gói ""Ngôi nhà mơ ước"" 16.000 tỷ đồng của SHB với lãi suất từ 3.99%/năm.",2025-02-27T16:00:00+07:00,Tài chính
15,"Hoàn thiện pháp lý, tham vấn quốc tế để sớm nâng hạng TTCK Việt Nam","Việt Nam chú trọng hoàn thiện khung pháp lý và tham vấn tổ chức quốc tế như FTSE Russell, BlackRock cùng Công ty chứng khoán SSI để tạo điều kiện cho sản phẩm mới và sớm nâng hạng thị trường chứng khoán.",2025-02-27T16:00:00+07:00,Thị trường
16,Nga phản đối chiến tranh thương mại toàn cầu,Người phát ngôn Điện Kremlin Dmitry Peskov tuyên bố Nga phản đối các cuộc chiến tranh thương mại vì chúng có tác động tiêu cực đến tất cả các bên tham gia thị trường.,2025-02-27T16:00:00+07:00,Thế giới
17,"Dự án 'siêu cảng' Cần Giờ khó giải ngân 4,8 tỷ USD trong 5 năm","Dự án Cảng trung chuyển quốc tế Cần Giờ vốn 4,8 tỷ USD khó giải ngân trong 5 năm theo Nghị quyết 98, Sở KHĐT TP.HCM đề xuất kéo dài thời hạn lên 10 năm.",2025-02-27T16:00:00+07:00,Kinh tế
18,"Phê duyệt chủ trương đầu tư hạ tầng KCN Vạn Thương, Bà Rịa - Vũng Tàu","Thủ tướng ban hành Quyết định 455/QĐ-TTg phê duyệt chủ trương đầu tư dự án đầu tư hạ tầng khu công nghiệp Vạn Thương, tỉnh Bà Rịa - Vũng Tàu.",2025-02-27T16:00:00+07:00,Kinh tế
19,"DNNVV gặp khó khăn tiếp cận vốn, cần thêm hỗ trợ","Doanh nghiệp nhỏ và vừa là lực lượng sản xuất chủ yếu nhưng gặp khó về vốn, quản lý, chỉ 30-35% tiếp cận được vốn vay ngân hàng và cần hỗ trợ nhiều hơn.",2025-02-27T16:00:00+07:00,Kinh tế
20,Indonesia điều chỉnh chính sách quản lý giá than xuất khẩu,"Bộ Năng lượng và Tài nguyên khoáng sản Indonesia sẽ điều chỉnh chính sách quản lý về giá bán than xuất khẩu, theo thông tin từ Thương vụ Việt Nam.",2025-02-27T16:00:00+07:00,Thế giới
21,EU đối mặt thế khó xử lý 200 tỷ euro tài sản Nga bị đóng băng,"EU gặp thế tiến thoái lưỡng nan trong quyết định về 200 tỷ euro tài sản Nga bị đóng băng, đối mặt bài toán pháp lý, kinh tế và chính trị đầy thách thức.",2025-02-27T16:00:00+07:00,Thế giới
22,Vinhomes (VHM) công bố chi tiết dự án lớn tại Hà Nội,"Dự án Vinhomes Đan Phượng (VHM) được hé lộ quy mô gồm hơn 2.000 căn biệt thự, liền kề cùng 6 tòa chung cư cao 35 tầng, được kỳ vọng là điểm nóng phía Tây Thủ đô.",2025-02-28T16:00:00+07:00,Bất động sản
23,Giá nông sản và các kim loại khác biến động,"Giá cà phê trong nước bật tăng lên 130.500 đồng/kg, hồ tiêu neo cao ở mức 157.800 đồng/kg, giá lúa gạo giảm nhẹ (xuất khẩu sang Philippines giảm sâu); Giá kim loại đồng tăng mạnh tại Mỹ do lo ngại thuế quan; Giá khí đốt châu Âu tăng vọt gây khó khăn.",2025-02-28T16:00:00+07:00,Hàng hóa
24,Việt Nam tiếp tục là điểm đến hấp dẫn FDI và tăng cường hội nhập,"TP.HCM thu hút 365,79 triệu USD vốn FDI trong 2 tháng đầu năm (tăng 87,1%); Doanh nghiệp Việt cần chủ động tham gia chuỗi giá trị FDI công nghệ; Tập đoàn bán lẻ Nhật Bản Takashimaya và doanh nghiệp Đan Mạch xem Việt Nam là thị trường trọng điểm.",2025-02-28T16:00:00+07:00,Kinh tế
25,Diễn biến địa chính trị và kinh tế quốc tế đáng chú ý,Tình báo Hàn Quốc cho biết Triều Tiên gửi thêm quân tới Nga; Philippines giữ vững lập trường về tên lửa Typhon; Nga-Mỹ đàm phán kín tại Istanbul; Mỹ cải tổ Lầu Năm Góc; Nga nối lại cung cấp uranium làm giàu cho Mỹ (kiểm soát 44% công suất toàn cầu); Mỹ-Ukraine hoàn tất thỏa thuận về đất hiếm và khoáng sản.,2025-02-28T16:00:00+07:00,Thế giới
26,Quản lý tiền mã hóa và tài sản số trở nên cấp thiết,"Thủ tướng yêu cầu Bộ Tài chính, KH&CN xây dựng quy định quản lý tiền số, tài sản số, hoàn thành trong quý II/2025, trong bối cảnh xảy ra vụ mất 1,5 tỷ USD tiền mã hóa ETH và dự báo giá Bitcoin có thể đạt 500.000 USD dưới thời Tổng thống Trump.",2025-02-28T16:00:00+07:00,Tài chính
27,Tái cơ cấu ngân hàng yếu kém và thúc đẩy tín dụng là trọng tâm 2025,"Ngành ngân hàng tập trung tái cơ cấu các ngân hàng yếu kém thông qua chuyển đổi số và nâng cao quản trị; Mục tiêu tăng trưởng tín dụng 16% (hơn 2,5 triệu tỷ đồng) sẽ ưu tiên sản xuất kinh doanh, tiêu dùng, NƠXH; BIDV dự kiến bơm 328.000 tỷ đồng tín dụng; Tuy nhiên, NH nhỏ đối mặt rủi ro thanh khoản.",2025-02-28T16:00:00+07:00,Tài chính
28,Cổ phiếu Nvidia biến động mạnh sau báo cáo tài chính và tin tức thị trường,"Dù doanh thu Nvidia tăng bùng nổ 114%, khẳng định vị thế ngành chip, cổ phiếu này vẫn trải qua phiên giao dịch biến động mạnh, mất 274 tỷ USD vốn hóa và rơi khỏi nhóm 3.000 tỷ USD do nhà đầu tư Mỹ dính ""bulltrap"" và ảnh hưởng từ tin tức thuế quan.",2025-02-28T16:00:00+07:00,Thế giới
29,Trí tuệ nhân tạo (AI) tiếp tục tạo đột phá và gây lo ngại về việc làm,"OpenAI ra mắt mô hình GPT-4.5; CEO Nvidia dùng AI Perplexity hàng ngày; Bỉ vào top 3 châu Âu về ứng dụng AI; Tuy nhiên, có dự báo AI thay thế 80% nhân sự kế toán trong 3 năm và giúp người không biết code tạo ứng dụng, đặt ra thách thức cho lao động truyền thống.",2025-02-28T16:00:00+07:00,Thế giới
30,Ngành thép Việt Nam đối mặt áp lực từ thép giá rẻ Trung Quốc,"Doanh nghiệp thép Việt kiến nghị Bộ Công Thương áp dụng biện pháp phòng vệ thương mại (VSA đề xuất mã AD19) đối với thép mạ giá rẻ nhập khẩu từ Trung Quốc và Hàn Quốc; Giá thép trong nước ổn định, trên sàn Thượng Hải tăng nhẹ.",2025-02-28T16:00:00+07:00,Hàng hóa
31,Vietcombank (VCB) mở rộng hoạt động và đề xuất chính sách,"Vietcombank (VCB) được NHNN cấp phép bổ sung hoạt động đại lý thanh toán, đồng thời Chủ tịch HĐQT đề xuất cần có chính sách ưu đãi thuế phù hợp cho các doanh nghiệp có tiềm năng trở thành trụ cột quốc gia.",2025-02-28T16:00:00+07:00,Tài chính
32,"Kinh tế Việt Nam 2025 lạc quan dựa vào sản xuất, mục tiêu tăng trưởng cao","Ngành sản xuất được dự báo là động lực tăng trưởng chính năm 2025 (Standard Chartered), mục tiêu GDP cả nước trên 8%; Doanh nghiệp lạc quan bất chấp EBRD hạ dự báo tăng trưởng khu vực xuống 3.2%; Nhiều địa phương như Bình Định (8.5-9%), Vĩnh Phúc (10-11%) đặt mục tiêu cao.",2025-02-28T16:00:00+07:00,Kinh tế
33,"VNINDEX tiếp tục tăng trưởng, cổ phiếu ngân hàng dẫn dắt","Thị trường chứng khoán Việt Nam có cơ hội vượt 1.310 điểm, VNINDEX lập chuỗi tăng 6 tuần liên tiếp dù khối ngoại bán ròng đột biến hơn 1.000 tỷ đồng phiên cuối tháng 2; Cổ phiếu ngân hàng được xem là động lực chính; CTCK khuyến nghị IJC, VNM, IDC và 10 mã hưởng lợi khi nâng hạng.",2025-02-28T16:00:00+07:00,Thị trường
34,Chính sách nhà ở xã hội và hỗ trợ người trẻ mua nhà được ưu tiên,"Thủ tướng yêu cầu ưu tiên NƠXH, có chính sách cho người trẻ; HoREA kiến nghị lập Quỹ phát triển nhà ở quốc gia và cơ chế vay 10-15 năm lãi suất hợp lý; Quảng Ninh bổ sung 3 dự án NƠXH (>10.000 căn); Hà Nội dùng 100 ha đất đấu giá Đông Anh để tái định cư dự án cầu.",2025-02-28T16:00:00+07:00,Bất động sản
35,Việt Nam đẩy mạnh đầu tư hạ tầng giao thông trọng điểm,"Hà Nội quyết khởi công cầu Tứ Liên ngày 19/5; Thủ tướng yêu cầu hoàn thành sân bay Gia Bình (Bắc Ninh) chậm nhất năm 2026; Tuyến metro số 1 TP.HCM dự kiến khánh thành ngày 9/3; Đường 14km khu Nam TP.HCM sắp mở rộng lên 10 làn xe; Tuy nhiên, thi công metro Hà Nội xảy ra lún, phải di dời dân.",2025-02-28T16:00:00+07:00,Kinh tế
